"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"9","347","Which of the following storage devices directly interacts with the CPU?","C","1","Tertiary Storage","Secondary Storage","Primary Storage","Hard Disk","",""
"9","348","Questions concern a disk with a sector size of 512 bytes, 2000 tracks per surface, 50 sectors per track, five double-sided platters, and average seek time of 10 milliseconds. If one track of data can be transferred per
revolution, then what is the data transfer rate ?","D","1","2,850 KBytes/second","4,500 KBytes/second","5,700 KBytes/second","2,250 KBytes/second","",""
"9","349","If the disk platters rotate at 5400 rpm (revolutions per minute), then
approximately what is the maximum rotational delay ?","A","1","0.011 seconds",". 0.11 seconds","0.0011 seconds","1.1 seconds","",""
"9","350","How many 128 × 8 RAM chips are needed to provide a memory capacity of
2048 bytes?","D","1","2","8","4","16","",""
"9","351","Which of the following sets of words best describes the characteristics of a primary storage device, like RAM.","C","1","Cheap, non-volatile, fast access","Volatile, expensive, slow access","Expensive, volatile, fast access","Fast access, non-volatile, cheap","",""
"9","352","Consider the following statements regarding memory:
1. Integrated circuit RAM chips are available in both static and dynamic modes.
2. The dynamic RAM stores the binary information in the form of electric charges that are
applied tocapacitors.
3. The static RAM is easier to use and has shorter read and write cycles.
4. RAM and ROM chips are not available in a variety of physical sizes. Which of the above statements are correct ?","A","1","1 and 2 only","1, 3 and 4 only","2, 3 and 4 only","1, 2, 3 and 4","",""
"9","353","Which of the following memories must be refreshed many times per
second?","B","1","Static RAM","Dynamic RAM","EPROM","ROM","",""
"9","354","A computer uses RAM chips of 1024 × 1 capacity. How many chips are needed to provide
memory capacity of 16K bytes?","D","1","8","16","1024","128","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"9","355","How many 32 K × 1 RAM chips are needed to provide a memory capacity of
256 K-bytes ?","C","1","8","32","64","128","",""
"9","356","Among the following the volatile memory is","B","1","Bubble memory","RAM","ROM","Magnetic disc","",""
"9","357","How many 128 × 8 RAM chips are needed to provide a memory capacity of
2048 bytes?","D","1","2","8","4","16","",""
"9","358","Which of the following technology can give high speed RAM?","B","1","TTL","CMOS","ECL","NMOS","",""
"9","359","Which of the following sets of words best describes the characteristics of a
primary storage device, like RAM.","A","1","Cheap, non-volatile,
fast access","Volatile, expensive,
slow access","Expensive, volatile,
fast access","Fast access,
non-volatile, cheap","",""
"9","360","Consider the following statements regarding memory:
1. Integrated circuit RAM chips are available in both static and dynamic modes.
2. The dynamic RAM stores the binary information in the form of electric charges that are
applied to capacitors.
3. The static RAM is easier to use and has shorter read and write cycles.
4. RAM and ROM chips are not available in a variety of physical sizes. Which of the above
statements are correct ?","A","1","1 and 2 only","1, 3 and 4 only","2, 3 and 4 only","1, 2, 3 and 4","",""
"9","361","Which of the following refers to the associative memory?","B","1","the address of the data is generated by the CPU","the address of the data is supplied by the users","there is no need for an address i.e. the data is used as
an address","the data are accessed sequentially","",""
"9","362","Which statements are correct?
I: Associative mapping has no conflict miss and may have capacity miss. II: Direct mapping would have conflict miss.
III. Hit latency in associative mapping is less than direct mapping.
IV. Set associative mapping has more conflict miss than Direct mapped cache","A","1","I and III","I ,III and II","I ,II and IV","I and II","",""
"9","363","Which of the following memory access mechanisms enables to retrieve a word based on a portion of its contents, rather than its address?","B","1","Direct access","Sequential access","Random access","Associative","",""
"9","364","Consider a computer system which is word addressable and each word size is 4 bytes.
A cache which is fully associative with tag size equal to 24 bits and block size is 64 bytes.
Now, same cache is changed to 4 way setassociative mapping, find the size of tag in set
associative organization which contains 1 M blocks?","D","1","4 bits","6 bits","8 bits","9 bits","",""
"9","365","A certain processor uses a fully associative cache of size 16 kB. The cache
block size is 16 bytes.
Assume that the main memory is byte addressable and uses a 32-bit address. How many
bits are required for the Tag and the Index fields respectively in the addresses generated
by the processor?","D","1","24 bits and 0 bits","28 bits and 4 bits","24 bits and 4 bits","28 bits and 0 bits","",""
"9","366","Which of the following memory access mechanisms enables to retrieve a word based on a portion of its contents, rather than its address?","D","1","Direct access","Sequential access","Random access","Associative","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"9","367","Which statements are correct?
I: Associative mapping has no conflict miss and may have capacity miss. II: Direct mapping would have conflict miss.
III. Hit latency in associative mapping is less than direct mapping.
IV. Set associative mapping has more conflict miss than Direct mapped cache.","A","1","I and III","I ,III and II","I ,II and IV","I and II","",""
"9","368","Consider cache memory 90% hit ratio is required to be installed in a memory system to reduce
the average memoryaccess time from 250 ns to 34 ns. Calculate the cache
memory access time required?","A","1","10","12","15","20","",""
"9","369","Which of the following is mainly used for cache memory?","C","1","Blu-ray disk","DRAM","SRAM","DVD","",""
"9","370","To reduce memory access time, a small, fast memory is inserted between the main memory and the processor. What is this memory called?","D","1","Accumulator","Register","Dynamic RAM","Cache","",""
"9","371","A memory buffer used to accommodate a speed differential is called","B","1","stack pointer","cache","accumulator","disk buffer","",""
"9","372","Which of the following is fastest memory?","B","1","Secondary Memory","Cache Memory","Auxiliary Memory","Auxiliary Memory","",""
"9","373","A small text file created by a website that is stored in the user’s computer
temporarily for that session is called           .","C","1","malware","bug","cookie","cache","",""
"9","374","Which of the following is not true about Cache memory?","D","1","Faster memory
than RAM","Volatile memory","Smaller in size
than RAM","Sequential access
memory","",""
"9","375","Which of the following components of CPU is responsible to direct the
system to execute instructions?","B","1","Arithmetic and
Logic Unit (ALU)","Control Unit (CU)","Registers","Random Access
Memory (RAM)","",""
"9","376","Which of the following memories has the shortest access time?","A","1","Cache Memory","Magnetic Bubble
Memory","Magnetic Core
Memory","Random Access
Memory","",""
"9","377","Which of the following type of memory is the fastest to access?","B","1","ROM","Cache","SRAM","DRAM","",""
"9","378","A cache memory needs an access time of 30 ns and main memory 150 ns, what is the average access time of CPU (assume hit ratio = 80%)?","A","1","60 ns","30 ns","150 ns","70 ns","",""
"9","379","Which memory has the shortest access time?","B","1","ROM Non-volatile
RAM","Main Memory","Random-access
memory","Cache Memory","",""
"9","380","Draw and criticize memory hierarchy in a computer system.","","3","","","","","",""
"9","381","Explain memory hierarchy in brief.","","3","","","","","",""
"9","382","What is RAM and ROM?","","3","","","","","",""
"9","383","How main memory is useful in computer system? Explain the memory
address map of RAM and ROM.","","3","","","","","",""
"9","384","Write a short note on associative memory.","","7","","","","","",""
"9","385","A 4-way set-associative cache memory unit with a capacity of 16 KB is built
using a block size of 8 words. The word length is 32 bits. The size of the physical address space is 4 GB.
How many bits for the will be required for TAG field?","","4","","","","","",""
"9","386","Write through-cache and Write back cache. (COMPARE)","","7","","","","","",""
"9","387","Elaborate cache coherence problem with its solutions.","","7","","","","","",""
"9","388","What is cache memory? Interpret direct addressing mapping with diagram.","","7","","","","","",""
"9","389","What is cache coherence? Describe.","","3","","","","","",""
"9","390","What is cache memory address mapping? Compare and contrast direct
address mapping and set-associative address mapping.","","7","","","","","",""
"9","391","What do you mean by cache memory? Justify the need of cache memory in
computer systems.","","4","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"9","392","What is cache memory address mapping? Which are the different memory
mapping techniques?Explain any one of them in detail.","","7","","","","","",""
"10","393","Input or output devices that are connected to computer are called            ","b","1","Input/Output
Subsystem","Peripheral Devices","Interfaces","Interrupt","",""
"10","394","How many types of modes of I/O Data Transfer?","d","1","2","4","5","3","",""
"10","395","Which of the following statement/s is/are correct?
(a) Keyboard and Mouse Comes under output periferal devices.
(b) The method which offers higher speeds of I/O transfers is DMA
(c) The data transfer rate of peripherals is usually slower than the transfer rate of the CPU","b","1","Only a and b","only b and c","only a","only c","",""
"10","396","Which of the following is true about DMA?
1.DMA is an approach of performing data transfers in bulk between memory and the external device without the intervention of the processor
2. The DMA controller acts as a processor for DMA transfers and overlooks the entire process
3.The DMA controller has 3 registers.","a","1","All 1, 2 and 3","only 1 and 2","only 2","only 1 and 3","",""
"10","397","In memory-mapped I/O                           ","a","1","The I/O devices and the memory share the same address space","The I/O devices have a separate address space","The memory and I/O devices have an associated address
space","A part of the memory is specifically set aside for the I/O operation","",""
"10","398","The CPU activities the                      output to inform the external DMA that
the buses are in the high-impedance state.","b","1","Bus request","bus grant","cycle stealing","none of these","",""
"10","399","The main functions of input-output interface circuits is / are -","d","1","Data conversion","synchronization","device selection","all a,b and c","",""
"10","400","The process of matching of operating speeds of CPU and other peripherals
is known as -","b","1","Data conversion","synchronization","device selection","cycle stealing","",""
"10","401","I/O bus consists of -","d","1","data lines","address lines","control lines","all a,b and c","",""
"10","402","Which of the following is/are correct regarding I/O bus?
(a) The I/O bus from the processor is attached to all peripheral interfaces.
(b) I/O bus consists of data lines and control lines only
(c) I/O bus is used for the selection of I/O devices by CPU","c","1","only 1 and 2","only 2","only 1","All 1, 2 and 3","",""
"10","403","How many types of commands that an interface may receive?","c","1","2","3","4","5","",""
"10","404","Which of the given command is not a valid command for I/O interface?","d","1","Status command","control command","Data output command","Interrupt command","",""
"10","405","Which I/O command is issued to rewind the magnetic tape or to start the
tape moving in the forward direction?","b","1","Status command","control command","Data output command","Data input command","",""
"10","406","In  which mode, the I/O module and main memory exchange data directly,
without processor involvement ?","a","1","DMA","Programmed I/O","Interrupt I/O","both b and c","",""
"10","407","In which case the interface receives an item of data from the peripheral and
places it in its buffer register?","d","1","Status command","control command","Data output command","Data input command","",""
"10","408","Which device is used to provide an independent pathway for the transfer of information between external devices and internal memory?","d","1","IOP","data channel","address decoder","both a and b","",""
"10","409","The control lines which are enabled during a memory transfer are -","a","1","memory read and
memory write","I/O read and I/O write","Interrupt enable and
disable","both a and b","",""
"10","410","In which configuration only one set of read and write signals employed ?","a","1","Memory mapped I/O","Isolated I/O","Interrupt Initiated I/O","both a and b","",""
"10","411","Which type of instructions are used by Computers with memory-mapped l/0
to access l/0 data?","b","1","Register type","Memory type","I/O type","none of the above","",""
"10","412","What is the difference between isolated and memory-mapped I/O?","","2","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"10","413","Match the following:
1. Skip next instruction if flag is set.                               P - Data input command
2. Read interface status register.                                      Q - Control command
3. Move printer paper to beginning of next page.       R - Status command","C","1","1-P, 2-Q, 3-R","1-Q, 2-P, 3-R","1-Q, 2-R, 3-P","1-P, 2-R, 3-Q","",""
"10","414","If the registers in the interface share a common clock with the CPU
registers, the transfer between the two units is said to be -","a","1","Synchronous data
transfer","Asynchronous data
transfer","Common data transfer","None of these","",""
"10","415","Which of the given methods are asynchronous data transfer method?","d","1","Handshaking Method","Strobe Pulse Method","cycle stealing","both a and b","",""
"10","416","During DMA transfer, the DMA controller takes over the buses to manage the transfer -","d","1","Directly from CPU to memory","Directly from memory to CPU","Directly between the memory and registers","Directly between the I/O device and
memory","",""
"10","417","Priority is provided by                  for access to memory by various I/O
channels and processors.","c","1","a register","a counter","a controller","the processor
scheduler","",""
"10","418","Which device is used for taking care of all data transfers between I/O units and the memory while the CPU is processing another program?","b","1","I/O Channel","IOP","RAM","Priority encoder","",""
"10","419","The term “cycle stealing” refers to:","c","1","Interrupt-based data
transfer","Polling mode data
transfer","DMA-based data
transfer","Clock cycle overriding","",""
"10","420","Which of the given mapping technique will provide simpler hardware, simple instruction set and provides all addressing modes? (i) Memory
mapped I/O (ii) Isolated I/O","c","1","Both (i) and (ii)","Only (ii)","only (i)","Neither (i) nor (ii)","",""
"10","421","Which of the following is not an advantage of memory mapped technique?
(i) Simple hardware (ii) Simple Instruction Size (iii) All address modes available (iv) More memory address space","b","1","(i), (iv) only","(iv) only","(i), (ii), (iii) only","(iii), (iv) only","",""
"10","422","In which mode of transfer, each data transfer is initiated by an instruction in
the program?","a","1","Programmed I/O","DMA","Interrupt initiated I/O","None","",""
"10","423","Choose the correct option/s from the following regarding programmed I/O
mode of transfer.
(i) CPU stays in a program loop until the I/O unit indicates that it is ready for data transfer.
(ii) Processor keeps busy needlessly in programmed I/O mode
(iii) An interrupt facility is used to issue an interrupt request when data is available from the device.","a","1","All 1, 2 and 3","only 1 and 2","only 2","only 1 and 3","",""
"10","424","In which mode of transfer, the interface transfers data into and out of the
memory unit through the memory bus?","b","1","Programmed I/O","DMA","Interrupt initiated I/O","None","",""
"10","425","Define the following terms in context with DMA: (A) Burst transfer (B) Cycle
Stealing","","2","","","","","",""
"10","426","Draw the block diagram of DMA controller and elaborate how the CPU
initialize the DMA?","","3","","","","","",""
"10","427","What is the difference between isolated I/O and memory-mapped I/O?
What are the advantages and disadvantages of each?","","3","","","","","",""
"10","428","Give at least six status conditions for the setting of individual bits in the
status register of an asynchronous communication interface.","","2","","","","","",""
"L.J Institute of Engineering and Technology, Ahmedabad. (COA) Question Bank (SEM-IV )","","","","","","","","","",""
"Note : This question bank is only for reference purpose. LJU Test question paper may not be completely set from this question bank.","","","","","","","","","",""
"chapt er_nu mber","grou p_id","question_text","answer_text","ma rks","option1","option2","option3","option4","option5","option6"
"10","429","Why are the read and write control lines in a DMA controUer bidirectional? Under what condition and for what purpose are they used as inputs? Under what condition and for what purpose are they used as outputs?","","2","","","","","",""
"10","430","Which type of register specifies the mode of transfer in DMA controller?","b","1","Address register","control register","word count register","Status register","",""
